,,"Property Crime Rates (per 100,000 population)",,,,
"Thunder Bay, Ontario","Theft $5,000 or under from a motor vehicle",708.87,1147.75,1035,958.06,602.96
"Thunder Bay, Ontario","Shoplifting $5,000 or under",580.89,776.54,752.96,604.09,498.32
"Thunder Bay, Ontario",Fraud (30),354.02,290.48,270.4,232.66,226.73
"Thunder Bay, Ontario",Identity theft (30),0,0,0,0,0
"Thunder Bay, Ontario",Identity fraud (30),,,0,0,0
"Thunder Bay, Ontario",Total mischief,1234.92,1592.2,1366.14,1233.93,1195.13
"Thunder Bay, Ontario",Mischief,1234.92,1592.2,1366.14,1233.93,1195.13
"Thunder Bay, Ontario",Mischief to religious property motivated by hate,,,0,0,0
"Thunder Bay, Ontario",Arson,39.89,36.62,49.09,29.91,33.22
"Thunder Bay, Ontario","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
Manitoba,Total property crime violations,6148.09,6629.95,5680.88,4901.69,4871.81
Manitoba,Total breaking and entering,832.88,864.74,822.43,741.8,731.1
Manitoba,Breaking and entering,832.72,863.76,820.41,737.64,725.41
Manitoba,Breaking and entering to steal a firearm,0.17,0.74,1.05,3.12,4.03
Manitoba,Break and enter to steal a firearm from a motor vehicle,0,0.25,0.97,1.04,1.66
Manitoba,"Total possession of stolen property (42,46)",60.96,60.66,60.29,43.94,43.01
Manitoba,"Total trafficking in stolen property (42,43,46)",0,0,0,0.4,0.32
Manitoba,Total theft of motor vehicle (46),746.79,535.21,455.52,310.14,294
Manitoba,"Total theft over $5,000 (non-motor vehicle)",40.23,45.17,37.14,32.68,34.73
Manitoba,"Theft over $5,000",29.11,36.81,27.76,23.97,29.68
Manitoba,"Theft over $5,000 from a motor vehicle",10.04,7.87,9.14,7.67,4.74
Manitoba,"Shoplifting over $5,000",1.08,0.49,0.24,1.04,0.32
Manitoba,"Total theft under $5,000 (non-motor vehicle)",1679.2,2366.99,1670.36,1432.22,1412.7
Manitoba,"Theft $5,000 or under",880.66,1417.98,723.22,682.28,653.98
Manitoba,"Theft $5,000 or under from a motor vehicle",649.34,705.14,697.49,528.33,541.67
Manitoba,"Shoplifting $5,000 or under",149.21,243.87,249.65,221.62,217.05
Manitoba,Fraud (30),206.77,219.44,169.05,156.83,168.67
Manitoba,Identity theft (30),0,0,1.46,2.56,2.45
Manitoba,Identity fraud (30),,,5.5,6.31,7.73
Manitoba,Total mischief,2512.17,2458.72,2382.9,2101.24,2101.57
Manitoba,Mischief,2512.17,2458.72,2382.82,2101.16,2101.57
Manitoba,Mischief to religious property motivated by hate,,,0.08,0.08,0
Manitoba,Arson,69.09,79.02,76.23,73.58,75.45
Manitoba,"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0.08
Saskatchewan (11),Total property crime violations,7067.28,7186.02,6902.58,6800.5,6189.96
Saskatchewan (11),Total breaking and entering,957.7,944.05,941.82,862.64,790.03
Saskatchewan (11),Breaking and entering,957.01,941.91,935.88,856.49,783.55
Saskatchewan (11),Breaking and entering to steal a firearm,0.69,1.65,3.93,3.12,3.8
Saskatchewan (11),Break and enter to steal a firearm from a motor vehicle,0,0.49,2.01,3.03,2.69
Saskatchewan (11),"Total possession of stolen property (42,46)",128.63,121.42,129.65,109.85,105.47
Saskatchewan (11),"Total trafficking in stolen property (42,43,46)",0,0,0,0.38,1.76
Saskatchewan (11),Total theft of motor vehicle (46),532.07,518.5,477.04,471.73,400.66
Saskatchewan (11),"Total theft over $5,000 (non-motor vehicle)",37.68,43.22,49.89,48.31,51.21
Saskatchewan (11),"Theft over $5,000",30.18,35.84,38.78,38.29,41.67
Saskatchewan (11),"Theft over $5,000 from a motor vehicle",6.51,6.51,9.29,8.41,8.24
Saskatchewan (11),"Shoplifting over $5,000",0.99,0.87,1.82,1.61,1.3
Saskatchewan (11),"Total theft under $5,000 (non-motor vehicle)",1859.67,1936.86,1827.24,1870.01,1667.75
Saskatchewan (11),"Theft $5,000 or under",1049.73,979.8,897.2,891,829.75
Saskatchewan (11),"Theft $5,000 or under from a motor vehicle",535.32,604.57,558.33,605.69,512.98
Saskatchewan (11),"Shoplifting $5,000 or under",274.61,352.5,371.71,373.32,325.01
Saskatchewan (11),Fraud (30),316.83,283.05,301.14,336.92,316.4
Saskatchewan (11),Identity theft (30),0,0,4.21,4.54,3.15
Saskatchewan (11),Identity fraud (30),,,20.01,31.86,22.32
Saskatchewan (11),Total mischief,3159.65,3266.35,3091.36,3004.34,2778.81
Saskatchewan (11),Mischief,3159.35,3266.05,3090.88,3004.05,2778.53
Saskatchewan (11),Mischief to religious property motivated by hate,0.3,0.29,0.48,0.28,0.28
Saskatchewan (11),Arson,75.07,72.56,60.23,59.84,52.32
Saskatchewan (11),"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0.09,0.09
Alberta,Total property crime violations,5717.21,5351.09,4920.68,4384.09,4293.88
Alberta,Total breaking and entering,651.41,634.41,607.21,491.81,499.34
Alberta,Breaking and entering,651.13,633.02,604.39,488.98,495.98
Alberta,Breaking and entering to steal a firearm,0.22,0.98,0.86,0.85,1.21
Alberta,Break and enter to steal a firearm from a motor vehicle,0.06,0.41,1.96,1.99,2.14
Alberta,"Total possession of stolen property (42,46)",162.02,137.31,125.28,93.14,96.44
Alberta,"Total trafficking in stolen property (42,43,46)",0,0,0,0.71,1.5
Alberta,Total theft of motor vehicle (46),617.62,498.51,410.96,358.86,356.22
Alberta,"Total theft over $5,000 (non-motor vehicle)",71.13,62.62,56.85,52.43,59.19
Alberta,"Theft over $5,000",50.41,44.93,41.68,39.65,45.1
Alberta,"Theft over $5,000 from a motor vehicle",19.6,16.31,13.96,11.49,12.42
Alberta,"Shoplifting over $5,000",1.11,1.39,1.21,1.3,1.68
Alberta,"Total theft under $5,000 (non-motor vehicle)",2090.31,2016.59,1839.92,1662.7,1627.93
Alberta,"Theft $5,000 or under",891.1,800.58,727.6,679.61,680.19
Alberta,"Theft $5,000 or under from a motor vehicle",889.51,844.36,774.38,682.17,671.47
Alberta,"Shoplifting $5,000 or under",309.7,371.66,337.94,300.92,276.27
Alberta,Fraud (30),350.96,345.14,320.72,278.26,272.55
Alberta,Identity theft (30),0,0,3.22,5.11,8.29
Alberta,Identity fraud (30),0.58,1.47,16.14,21.15,25.89
Alberta,Total mischief,1720.79,1610.57,1498.76,1386.87,1312.09
Alberta,Mischief,1720.76,1610.36,1498.59,1386.84,1311.99
Alberta,Mischief to religious property motivated by hate,0.03,0.22,0.16,0.03,0.1
Alberta,Arson,52.39,44.46,41.62,32.93,34.31
Alberta,"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0.11,0.13
"British Columbia (28,41,49)",Total property crime violations,6092.95,5531.33,5119.25,4695.96,4710.95
"British Columbia (28,41,49)",Total breaking and entering,884.75,754.19,692.5,649.04,649.59
"British Columbia (28,41,49)",Breaking and entering,884.38,753.25,690.1,645.92,645.83
"British Columbia (28,41,49)",Breaking and entering to steal a firearm,0.25,0.7,1.15,2.25,2.57
"British Columbia (28,41,49)",Break and enter to steal a firearm from a motor vehicle,0.11,0.25,1.26,0.87,1.19
"British Columbia (28,41,49)","Total possession of stolen property (42,46)",96.5,93.93,84.23,64.55,57.82
"British Columbia (28,41,49)","Total trafficking in stolen property (42,43,46)",0,0,0,0.74,0.74
"British Columbia (28,41,49)",Total theft of motor vehicle (46),518.62,438.37,352.49,287.79,272.23
"British Columbia (28,41,49)","Total theft over $5,000 (non-motor vehicle)",69.66,60.09,56.54,53.49,54.52
"British Columbia (28,41,49)","Theft over $5,000",45.62,40.92,39.47,37.84,37.47
"British Columbia (28,41,49)","Theft over $5,000 from a motor vehicle",21.62,17.29,15.37,14.07,15.79
"British Columbia (28,41,49)","Shoplifting over $5,000",2.42,1.88,1.7,1.57,1.25
"British Columbia (28,41,49)","Total theft under $5,000 (non-motor vehicle)",2615.26,2472.19,2348.47,2193.28,2285.26
"British Columbia (28,41,49)","Theft $5,000 or under",981.52,868.18,840.09,824.09,865.32
"British Columbia (28,41,49)","Theft $5,000 or under from a motor vehicle",1203.15,1120.94,1049.16,937.45,985.53
"British Columbia (28,41,49)","Shoplifting $5,000 or under",430.58,483.06,459.21,431.74,434.41
"British Columbia (28,41,49)",Fraud (30),321.76,325.66,287.8,265.37,259.14
"British Columbia (28,41,49)",Identity theft (30),0,0,4.99,4.35,4.59
"British Columbia (28,41,49)",Identity fraud (30),,,33.43,35.88,41.47
"British Columbia (28,41,49)",Total mischief,1531.78,1335.75,1212.63,1101.85,1045.24
"British Columbia (28,41,49)",Mischief,1531.16,1335.41,1212.36,1101.78,1045.11
"British Columbia (28,41,49)",Mischief to religious property motivated by hate,0.62,0.34,0.26,0.07,0.13
"British Columbia (28,41,49)",Arson,54.63,51.17,46.19,39.55,40.28
"British Columbia (28,41,49)","Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0.07,0.06
Yukon,Total property crime violations,10253.78,9094.14,8983.02,9008.98,8667.35
Yukon,Total breaking and entering,767.37,764.51,710.33,539.58,567.85
Yukon,Breaking and entering,767.37,758.59,701.66,533.93,562.31
Yukon,Breaking and entering to steal a firearm,0,5.93,5.78,0,5.54
Yukon,Break and enter to steal a firearm from a motor vehicle,,,2.89,5.65,0
Yukon,"Total possession of stolen property (42,46)",117.82,97.79,121.28,53.68,130.19
Yukon,"Total trafficking in stolen property (42,43,46)",0,0,0,0,2.77
Yukon,Total theft of motor vehicle (46),516.62,391.15,470.66,324.88,407.19
Yukon,"Total theft over $5,000 (non-motor vehicle)",81.57,50.37,95.29,62.15,69.25
Yukon,"Theft over $5,000",66.47,38.52,83.74,56.5,55.4
Yukon,"Theft over $5,000 from a motor vehicle",12.08,11.85,5.78,0,5.54
Yukon,"Shoplifting over $5,000",3.02,0,5.78,5.65,8.31
Yukon,"Total theft under $5,000 (non-motor vehicle)",2081.57,2118.71,2154.08,2254.36,2501.32
Yukon,"Theft $5,000 or under",1601.21,1446.05,1475.51,1336.23,1473.64
Yukon,"Theft $5,000 or under from a motor vehicle",374.62,509.67,340.73,522.63,681.42
Yukon,"Shoplifting $5,000 or under",105.74,162.98,337.84,395.5,346.25
Yukon,Fraud (30),377.64,382.26,320.51,228.83,260.38
Yukon,Identity theft (30),0,0,0,0,5.54
Yukon,Identity fraud (30),,,14.44,33.9,8.31
Yukon,Total mischief,6268.88,5247.87,5053.13,5463.59,4670.23
Yukon,Mischief,6268.88,5247.87,5053.13,5463.59,4670.23
Yukon,Mischief to religious property motivated by hate,,,0,0,0
Yukon,Arson,42.3,41.49,43.31,48.03,44.32
Yukon,"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
Northwest Territories (15),Total property crime violations,20326.38,19797.42,22369.11,22921.38,24023.62
Northwest Territories (15),Total breaking and entering,1961.46,1656.85,1636.54,1700.9,1520.22
Northwest Territories (15),Breaking and entering,1961.46,1656.85,1636.54,1698.63,1517.91
Northwest Territories (15),Breaking and entering to steal a firearm,,,0,2.26,0
Northwest Territories (15),Break and enter to steal a firearm from a motor vehicle,,,0,0,2.31
Northwest Territories (15),"Total possession of stolen property (42,46)",102.99,77.92,91.17,85.95,71.51
Northwest Territories (15),"Total trafficking in stolen property (42,43,46)",0,0,0,0,2.31
Northwest Territories (15),Total theft of motor vehicle (46),734.69,533.95,508.29,490.82,456.76
Northwest Territories (15),"Total theft over $5,000 (non-motor vehicle)",52.64,52.71,79.78,56.55,71.51
Northwest Territories (15),"Theft over $5,000",52.64,43.54,68.38,45.24,62.29
Northwest Territories (15),"Theft over $5,000 from a motor vehicle",0,6.87,2.28,2.26,2.31
Northwest Territories (15),"Shoplifting over $5,000",0,2.29,9.12,9.05,6.92
Northwest Territories (15),"Total theft under $5,000 (non-motor vehicle)",2231.53,2259.55,2122.03,2295.76,2242.27
Northwest Territories (15),"Theft $5,000 or under",1760.05,1627.06,1565.88,1802.68,1693.23
Northwest Territories (15),"Theft $5,000 or under from a motor vehicle",199.12,183.33,139.04,151.54,113.04
Northwest Territories (15),"Shoplifting $5,000 or under",272.36,449.16,417.11,341.54,436
Northwest Territories (15),Fraud (30),295.25,309.37,382.92,325.7,320.65
Northwest Territories (15),Identity theft (30),0,0,6.84,4.52,6.92
Northwest Territories (15),Identity fraud (30),,,4.56,20.36,18.45
Northwest Territories (15),Total mischief,14863.13,14833.74,17450.37,17861.67,19248.43
Northwest Territories (15),Mischief,14863.13,14833.74,17448.09,17861.67,19248.43
Northwest Territories (15),Mischief to religious property motivated by hate,,,2.28,0,0
Northwest Territories (15),Arson,84.68,73.33,86.61,79.16,64.59
Northwest Territories (15),"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
Nunavut (15),Total property crime violations,15762,16817.32,17018.55,16500.25,16580.11
Nunavut (15),Total breaking and entering,2071.87,1969.37,2041.25,1621.41,1845.86
Nunavut (15),Breaking and entering,2071.87,1969.37,2038.2,1615.45,1845.86
Nunavut (15),Breaking and entering to steal a firearm,,,3.05,5.96,0
Nunavut (15),Break and enter to steal a firearm from a motor vehicle,,,0,0,0
Nunavut (15),"Total possession of stolen property (42,46)",69.59,114.93,103.59,80.47,92
Nunavut (15),"Total trafficking in stolen property (42,43,46)",0,0,0,0,0
Nunavut (15),Total theft of motor vehicle (46),544.06,602.62,621.52,444.1,465.92
Nunavut (15),"Total theft over $5,000 (non-motor vehicle)",31.63,55.91,51.79,47.69,47.48
Nunavut (15),"Theft over $5,000",31.63,52.81,39.61,44.71,41.55
Nunavut (15),"Theft over $5,000 from a motor vehicle",0,3.11,0,0,2.97
Nunavut (15),"Shoplifting over $5,000",0,0,12.19,2.98,2.97
Nunavut (15),"Total theft under $5,000 (non-motor vehicle)",1315.87,1208.34,1413.64,1230.96,1178.15
Nunavut (15),"Theft $5,000 or under",1081.8,897.71,1032.81,906.08,866.55
Nunavut (15),"Theft $5,000 or under from a motor vehicle",37.96,24.85,63.98,35.77,59.35
Nunavut (15),"Shoplifting $5,000 or under",196.12,285.78,316.85,289.11,252.25
Nunavut (15),Fraud (30),262.54,158.42,164.52,131.14,172.12
Nunavut (15),Identity theft (30),0,0,0,2.98,2.97
Nunavut (15),Identity fraud (30),,,9.14,2.98,2.97
Nunavut (15),Total mischief,11434.81,12630.07,12521.71,12846.11,12686.59
Nunavut (15),Mischief,11434.81,12630.07,12521.71,12846.11,12686.59
Nunavut (15),Mischief to religious property motivated by hate,,,0,0,0
Nunavut (15),Arson,31.63,77.66,91.4,92.4,86.06
Nunavut (15),"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
Footnotes:,,,,,,
1,"For the period from 1998 to 2008 Incident-based Uniform Crime Reporting Survey (UCR2) data are not available for all respondents. In order to report this level of detail for police services still reporting to the Aggregate Uniform Crime Reporting Survey (URC) over this time, a process of imputation was applied to derive counts for violations that do not exist on their own in the aggregate survey. For approximately 80% of the aggregate offence codes, there is a 1:1 mapping with a new incident-based violation code. For violations where this was not the case, such as the aggregate other Criminal Code category, it was necessary to estimate (impute) this figure using the distribution of other Criminal Code offences from existing Incident-based UCR2 respondents.",,,,,
2,"During the production of each year's crime statistics, data from the previous year are revised to reflect any updates or changes that have been received from the police services.",,,,,
3,"The methodology for calculating census metropolitan area (CMA) populations was modified in 2003. Starting in 1996, the populations for CMAs have been adjusted to reflect the actual policing boundaries within the CMA and do not reflect the official Statistics Canada population for these CMAs. CMA data are included within province-level data.",,,,,
54,"Police reported statistics may be affected by differences in the way police services deal with minor offences. In some instances, police or municipalities might chose to deal with some minor offences using municipal by-laws or provincial provisions rather than Criminal Code provisions. Counts are based on the most serious violation in the incident.",,,,,
50,"In 2012, it was discovered that the Montreal Police Service had been incorrectly applying the agreed upon definition for reporting child pornography incidents to the Uniform Crime Reporting Survey (UCR). As such, the number of violations has been revised for the years 2008 to 2011.",,,,,
42,"In April 2011, legislation came into effect making it an offence to traffic in property obtained by crime, including possession with intent to traffic property obtained by crime. In addition to creating new Uniform Crime Reporting Survey (UCR) violation codes to capture these offences, the existing UCR violation code pertaining to possession of stolen property was modified. The UCR now separates possession of stolen property into possession of stolen property under $5,000 and possession of stolen property over $5,000 in order to be more in line with the Criminal Code of Canada. As a result of this change, a number of incidents of possession of stolen property under $5,000 are now being reported as secondary offences when they occur in conjunction with more serious offences, leading to a decrease in the number of possession of stolen property incidents reported in 2011.",,,,,
46,Detailed information of this category is available upon request.,,,,,
43,"In April 2011, legislation came into effect making it an offence to traffic in property obtained by crime, including possession with intent to traffic property obtained by crime. The Uniform Crime Reporting Survey (UCR) introduced two new violations codes to collect this information. They are Trafficking in Stolen Goods over $5,000 (incl. possession with intent to traffic) and Trafficking in Stolen Goods under $5,000 (incl. possession with intent to traffic).",,,,,
30,"In January 2010, the Uniform Crime Reporting Survey (UCR) was modified to create new violation codes for identity fraud and identity theft. Prior to 2010, those offences would have been coded as fraud.",,,,,
45,"In 2011, the Criminal Code was amended to make it illegal for anyone to alter, destroy or remove a Vehicle Identification Number (VIN). The Uniform Crime Reporting Survey (UCR) introduced a new violation code to collect this information.",,,,,
51,"In 2012, Charlottetown altered the classification of calls from the public regarding impaired driving which accounts for the decrease at the municipal and provincial levels that year.",,,,,
7,"During the revision of 2001 data for the province of Ontario, a discrepancy in methodology applied by the forces in the province using the Ontario Municipal and Provincial Police Automated Co-operative (OMPPAC) system was detected. These forces report approximately one-third of the total criminal incidents for the province and include the Ontario Provincial Police and about 60 small and mid-sized municipal forces. This discrepancy resulted in an over-count of less serious criminal incidents. During 2003 and 2004, the Canadian Centre for Justice Statistics (CCJS) consulted with affected police services and analyzed both historical Aggregate Uniform Crime Reporting Survey (UCR) data and more recent Incident-based Uniform Crime Reporting Survey (UCR2) microdata to determine the impact of this over-reporting. The effect at the Canada level was, on average, 1% per year from 1977 to 2000. This over-counting peaked in 1991, where it was estimated that the total crime rate for the country was over-estimated by approximately 1.8%. However, the overall historical trend changed very little. The impact in Ontario is more noticeable, but the overall trend is still very similar. On average, the effect was 2% to 3% per year, with the biggest change occurring in 1991, where the Ontario crime rate is 5% lower as a result of the adjustment. For further information, refer to the report:<A HREF=""http://www.statcan.gc.ca/imdb-bmdi/document/3302_D13_T9_V1-eng.pdf"">Summary of Historical Adjustments to Crime Data for Ontario 1977-2000</A>.",,,,,
6,The census metropolitan area (CMA) of Ottawa-Gatineau was formerly known as Ottawa-Hull.,,,,,
52,"Ottawa numbers also include child pornography incidents reported by the National Child Exploitation Coordination Centre of the Royal Canadian Mounted Police (RCMP) which is located in the City of Ottawa. The Centre responds to internet-facilitated sexual abuse cases nationally. Therefore, while the incidents are detected by the RCMP Centre located in Ottawa and appear in Ottawa's crime statistics, the incidents themselves or the offenders are not limited to the city of Ottawa.",,,,,
8,"Abbotsford-Mission, British Columbia and Kingston, Ontario became new census metropolitan areas (CMAs) as of the 2001 Census. Moncton, New Brunswick, Peterborough, Ontario, Brantford, Ontario, Guelph, Ontario, Barrie, Ontario, and Kelowna, British Columbia became new CMAs as of the 2006 Census.",,,,,
33,"In 2009, slight changes were made to the respondent-to-CMA mapping for this census metropolitan area (CMA) which have resulted in minor revisions to previously published data.",,,,,
11,"Prior to 1999, a number of Royal Canadian Mounted Police (RCMP) detachments in Saskatchewan were double counting the number of actual offences of impaired driving. This over-counting was corrected in 1999, therefore, comparisons with previous years should be made with caution. It is recommended that the analysis of impaired driving be based on persons charged data rather than actual offences.",,,,,
28,"Youth crime in British Columbia may be somewhat undercounted due to the Crown charge-approval system in place whereby, even for minor offences, there must be approval by the Crown before charges are laid after police have made an arrest. This approval is based on the substantial likelihood of conviction.",,,,,
41,"Youth crime in British Columbia may be somewhat undercounted due to the Crown charge-approval system in place whereby, even for minor offences, there must be approval by the Crown before charges are laid after police have made an arrest. This approval is based on the substantial likelihood of conviction.",,,,,
49,"In 2011, the introduction of the Immediate Roadside Prohibition (IRP) in British Columbia provided an alternative method for officers to proceed with penalties for impaired drivers and may account for the trends reported for 2011 and 2012.",,,,,
15,"1998 data in this table for Northwest Territories also includes Nunavut. In 1999, Nunavut, which comprises the eastern part of the old Northwest Territories, officially became a Canadian territory. Starting in 1999, data are displayed separately for the Northwest Territories and Nunavut.",,,,,
